,name,distance,mass,radius
72,2MASSI J0859254-194926 [de],50.0,0.0477294,1.1230780705948137e-05
73,2MASSI J0937347+293142,20.0,0.040092696000000004,1.0772381493460457e-05
74,2MASS 0939−2448,17.4,0.030546816,1.0886981296582378e-05
75,2MASS J09490860-1545485 [de],59.0,0.046774812,1.1001581099704299e-05
76,2MASS J10073369-4555147,46.0,0.042001872,1.0772381493460457e-05
77,2MASSI J1010148-040649 [de],55.0,0.048683988000000004,1.1230780705948137e-05
78,2MASS J10224821+5825453 [de],60.0,0.025773876,1.6158572240190688e-05
79,2MASSW J1036530-344138 [de],53.0,0.046774812,1.1116180902826219e-05
80,2MASS J1047538+212423 [de],34.4,0.040092696000000004,1.0772381493460457e-05
81,DEN 1048-3956,13.15,0.073503276,1.2262178934045417e-05
82,Luhman 16B,6.516,0.041047284,1.168917991843582e-05
83,Luhman 16A,6.516,0.03818352,1.1574580115313898e-05
84,DENIS-P J1058.7−1548,49.0,0.061093632,1.1459980312191978e-05
85,TWA 28,180.0,0.034365168,2.738935294613883e-05
86,Cha 110913-773444,163.0,0.007636704,2.0627964561945562e-05
87,SDSS J111010.01+011613.1,63.0,0.008591292,1.4210375587118055e-05
88,2MASS J11145133−2618235,18.2,0.031501404000000004,1.1001581099704299e-05
89,TWA 26,137.0,0.028637640000000002,2.5211956686822352e-05
90,2MASS J11544223-3400390 [de],129.0,0.035319756,1.718997046828797e-05
91,2MASSW J1155395-372735 [de],31.0,0.061093632,1.1459980312191978e-05
92,2MASS J12074836-3900043,217.0,0.016227996,1.959656633384828e-05
93,2MASSI J1217110-031113 [de],36.0,0.040092696000000004,1.0772381493460457e-05
94,2M 1237+6526,45.6,0.039138108,1.0772381493460457e-05
95,TWA 29,262.0,0.0238647,2.2919960624383955e-05
96,SDSSp J125453.90-012247.4 [de],38.0,0.044865636,1.1230780705948137e-05
97,Kelu-1A,61.0,0.060139044,1.1230780705948137e-05
98,Kelu-1B,61.0,0.055366104,1.1230780705948137e-05
99,2MASS J13204427+0409045,101.0,0.063957396,1.1574580115313898e-05
100,SDSSp J132629.82-003831.5 [de],65.0,0.048683988000000004,1.1116180902826219e-05
101,SDSSp J134646.45-003150.4 [de],48.0,0.042001872,1.0772381493460457e-05
102,2MASS J13595510-4034582,51.0,0.060139044,1.1459980312191978e-05
103,ULAS J141623.94+134836.3,29.7,0.030546816,1.1001581099704299e-05
104,SDSS J141659.78+500626.4 [de],149.0,0.056320692,1.1345380509070057e-05
105,DENIS-P J142527.97-365023.4 [de],38.0,0.020046348000000002,1.5127174012093412e-05
106,LHS 2924,38.5,0.072548688,1.2147579130923499e-05
107,2MASS J14392837+1929150,47.0,0.068730336,1.1803779721557736e-05
108,LSPM J1440+1339,72.0,0.087822096,1.3637376571508454e-05
109,2MASS J14482563+1031590 [de],47.0,0.056320692,1.1345380509070057e-05
110,CFBDSIR 1458+10A,104.0,0.0105959268,1.718997046828797e-05
111,CFBDSIR 1458+10B,104.0,0.008591292,1.4897974405849571e-05
